bgm_id,game_title,current_title,confirmed_title,confidence,source,reason
"360","Fire Emblem: Three Houses","God-Shattering Star","この世界の頂で","confirmed_high","https://www.intsys.co.jp/works/sound/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"368","Monster Hunter Generations Ultimate","Silver-Winged Star / Valstrax","銀翼の凶星／バルファルク","confirmed_high","https://www.capcom.co.jp/sound/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"379","The Legend of Zelda","Dungeon Theme","地下BGM","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"380","Xenoblade Chronicles 3","Keves Battle","ケヴェス戦闘","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"383","The Legend of Zelda: The Wind Waker","Molgera","モルド・ゲイラ","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"385","The Legend of Zelda: Skyward Sword","Fi's Farewell","ファイとの別れ","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"386","The Legend of Zelda: Breath of the Wild","Guardian Battle","ガーディアン戦","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"387","Ōkami","Ryoshima Coast","両島原","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"388","The Legend of Zelda: Tears of the Kingdom","Demon King Ganondorf Battle","魔王ガノンドロフ戦","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"405","Octopath Traveler","Decisive Battle II","決戦2","confirmed_high","https://www.jp.square-enix.com/music/sem/page/octopathtravelerarr_2/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"414","Monster Hunter Freedom Unite","Pokke Village Theme","ポッケ村のテーマ","confirmed_high","https://www.capcom.co.jp/sound/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"420","Monster Hunter 4","Golden Mane / Rajang","金色の鬣／ラージャン","confirmed_high","https://www.capcom.co.jp/sound/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"435","Dragon Quest VIII: Journey of the Cursed King","Strange World","広い世界へ","confirmed_high","https://www.jp.square-enix.com/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"440","Dragon Quest XI: Echoes of an Elusive Age","Unwavering Courage","勇者は征く","confirmed_high","https://www.jp.square-enix.com/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"445","Bravely Second: End Layer","Battle of Oblivion","忘れられた戦い","confirmed_high","https://www.jp.square-enix.com/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"451","Kirby's Adventure","Butter Building","バタービルディング","confirmed_high","https://www.kirby.jp/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"456","Kirby 64: The Crystal Shards","Ripple Star","リップルスター","confirmed_high","https://www.kirby.jp/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"463","Shin Megami Tensei III: Nocturne","Battle -Fierce Battle-","強制戦闘","confirmed_high","https://www.atlus.co.jp/news/4144/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"472","Kirby: Planet Robobot","Pink Ball Activate!","桃球発進！ロボボアーマー","confirmed_high","https://www.kirby.jp/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"477","Kirby Star Allies","The Star Conquering Traveler","組曲：星羅征く旅人","confirmed_high","https://www.kirby.jp/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"497","Fire Emblem: The Blazing Blade","Together We Ride","仲間入り","confirmed_high","https://www.intsys.co.jp/works/sound/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"503","Fire Emblem: Radiant Dawn","Eternal Bond","絆永久に","confirmed_high","https://www.intsys.co.jp/works/sound/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"505","Monster Hunter 2","Ancient Rhythm","古のリズム","confirmed_high","https://www.capcom.co.jp/sound/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"514","Monster Hunter 4","A Thousand Shining Blades / Dalamadur","千剣に巣食う者／ダラ・アマデュラ","confirmed_high","https://www.capcom.co.jp/sound/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"521","Animal Crossing","Title Theme","タイトル","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"524","Animal Crossing: New Leaf","7 PM","午後7時","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"527","Animal Crossing: New Horizons","2 AM","午前2時","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"530","Dragon Quest VIII: Journey of the Cursed King","War Cry","雄叫びをあげて","confirmed_high","https://www.jp.square-enix.com/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"531","Dragon Quest XI: Echoes of an Elusive Age","Hero's Challenge","勇者の挑戦","confirmed_high","https://www.jp.square-enix.com/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"532","Bravely Second: End Layer","The Ones Who Gather Stars in the Night","夜に星を集う者達","confirmed_high","https://www.jp.square-enix.com/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"533","Mario Kart 64","Koopa Troopa Beach","ノコノコビーチ","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"534","Mario Kart 8 Deluxe","Mount Wario","ワリオスノーマウンテン","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"535","Kirby's Adventure","Nightmare Wizard","ナイトメアウィザード","confirmed_high","https://www.kirby.jp/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"536","Kirby 64: The Crystal Shards","Miracle Matter","ミラクルマター","confirmed_high","https://www.kirby.jp/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"537","Kirby's Return to Dream Land","Another Dimension","アナザーディメンション","confirmed_high","https://www.kirby.jp/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"538","Kirby: Triple Deluxe","The World to Win","この星をかけた魂の戦い","confirmed_high","https://www.kirby.jp/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"539","Kirby: Planet Robobot","VS. Star Dream Soul OS","VS.スタードリーム.Soul OS","confirmed_high","https://www.kirby.jp/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"545","Fire Emblem: The Sacred Stones","Determination","決意","confirmed_high","https://www.intsys.co.jp/works/sound/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
